DocID,typeOfMaterial,news_desk,headline,lead_paragraph,word_count,publication_date,person,keywords,glocation,section_name
4fd1ca228eb7c8105d6fe0f2,News,Men's Health, (Sh!) More Men Color Their Hair ,"Does he or doesn't he? With growing numbers of hair-coloring products for men on the market, chances are better than ever that he does.Does he or doesn't he? With growing numbers of hair-coloring products for men on the market, chances are better than ever that he does. | Does he or doesn't he?   With growing numbers of hair-coloring products for men on the market, chances are better than ever that he does. | ",994,23/11/1991, Deborah BLUMENTHAL | , CONSUMER'S WORLD PAGE (NYT) | DYES AND DYESTUFFS | MEN | HAIR | , , 
51151f3d00315214fbb89f5a,Blog, , Updates on the Winter Storm ,Journalists from The Times are monitoring the storm and will be providing updates throughout the day.Journalists from The Times are monitoring the storm and will be providing updates throughout the day. | ,13336,08/02/2013, , Snow and Snowstorms | Weather | , , 
5177e7d8fdc5920bc400046b,Blog, , April 23 Updates in the Aftermath of the Boston Marathon  ,The Lede is following developments in the aftermath of the Boston Marathon bombings.The Lede is following developments in the aftermath of the Boston Marathon bombings. | ,4411,23/04/2013, Jennifer PRESTON | Liam STACK | ," Tsarnaev, Dzhokhar A | Boston (Mass) | Boston Marathon Bombings (2013) | ", Boston (Mass) | , 
4fc4a76545c1498b0dac0df4,Article,Health & Nutrition, Making Some Sense Of Nutrition Labels; Personal Health The Ingredients Personal Health Nutrition Information Making some sense out of those nutrition labels. ,"FIFTH-GRADER studying nutrition in school examined the side panel of a box of Total for a few minutes, then asked his mother, ""How come this cereal has 100 percent of all these good things in it ...FIFTH-GRADER studying nutrition in school examined the side panel of a box of Total for a few minutes, then asked his mother, ""How come this cereal has 100 percent of all these good things in it ... | FIFTH-GRADER studying nutrition in school examined the side panel of a box of Total for a few minutes, then asked  his mother, ""How come this cereal has 100 percent of all these good things in it ... | Jane E Brody article on nutrition labels (L) | ",1799,02/01/1980, Jane BRODY | , UNITED STATES | FOOD AND GROCERY TRADE | , UNITED STATES | , 
4fc4a61445c1498b0dabb11c,Article,," HIGHLIGHTS; The Week in Business: Recession, Inflation and Here Comes Honda At Eastern Airlines, Stock Isn't Money Candy in Crisis: Let Them Eat Gum Ghoul's Gold Levittown-by-the-Sea, for $2 Million "," HIGHLIGHTS; The Week in Business: Recession, Inflation and Here Comes Honda At Eastern Airlines, Stock Isn't Money Candy in Crisis: Let Them Eat Gum Ghoul's Gold Levittown-by-the-Sea, for $2 Million ",2310,13/01/1980, Daniel CUFF | , FLORIDA | UNITED STATES | GOLD | HOUSING | SURPLUS PROPERTY AND PRODUCTS (MILITARY) | ECONOMIC CONDITIONS AND TRENDS | , FLORIDA | UNITED STATES | , 
4fc4a61245c1498b0dabaf06,Article, , Ideas & Trends; In Summary Criminal Homicide? The Trial Begins In Pinto Deaths College Sports Fraud Net Widens A Test Tube Baby Clinic in Virginia Ideas & Trends Nairobi Verdict: Lions Are Cleared In Adamson Death Canadian Oil Find Is Really Something War Over Whales Claims a Victim , Ideas & Trends; In Summary Criminal Homicide? The Trial Begins In Pinto Deaths College Sports Fraud Net Widens A Test Tube Baby Clinic in Virginia Ideas & Trends Nairobi Verdict: Lions Are Cleared In Adamson Death Canadian Oil Find Is Really Something War Over Whales Claims a Victim ,1331,13/01/1980, ," CANADA | FISH AND OTHER MARINE LIFE | FISHING, COMMERCIAL | OIL (PETROLEUM) AND GASOLINE | ", CANADA | , 
4fc4a78d45c1498b0dac1cb6,Letter, , Letters; 'We Must Be Prepared for an Era of Jeopardy' The Fairer Approach To Gasoline Saving To Park in a Schoolyard Did the U.S. Miss a Cry From Afghanistan? Strip-Mining Law Alive and Strong A Failure to Keep Track Of Guests From Abroad Diego Rivera's Offense Portrait of a Future Healer ,Dr Sherwin B Nuland letter disputes Karen DeCrow Dec 22 letter on difficulties faced by students seeking admission to US medical schoolsDr Sherwin B Nuland letter disputes Karen DeCrow Dec 22 letter on difficulties faced by students seeking admission to US medical schools | ,1967,09/01/1980, Richard AUGENBLICKRICHARD | , NEW YORK CITY | AFGHANISTAN | NEW YORK CITY | UNITED STATES | UNITED STATES | UNITED STATES | UNITED STATES | DETROIT INSTITUTE OF ARTS | ROADS AND TRAFFIC | PARKING | MURALS | EDUCATION AND SCHOOLS | TAXATION | FEDERAL TAXES (US) | COAL | OIL (PETROLEUM) AND GASOLINE | OIL (PETROLEUM) AND GASOLINE | PRICES | INTERNATIONAL RELATIONS | COMMUNIST-WESTERN RELATIONS | MEDICINE AND HEALTH | EDUCATION AND SCHOOLS | , NEW YORK CITY | AFGHANISTAN | NEW YORK CITY | UNITED STATES | UNITED STATES | UNITED STATES | UNITED STATES | , 
4fc4a89a45c1498b0dac6068,Article,Health & Nutrition, Personal Health ,"WHETHER it merely causes private pain or is the source of significant public embarrassment, intestinal gas is a vexing problem for millions of Americans. Although not yet a topic for cocktail party conversation, the recent fiber revolution and the growing reliance on vegetable sources of protein have helped to make intestinal gas a matter of widespread concern.WHETHER it merely causes private pain or is the source of significant public embarrassment, intestinal gas is a vexing problem for millions of Americans. Although not yet a topic for cocktail party conversation, the recent fiber revolution and the growing reliance on vegetable sources of protein have helped to make intestinal gas a matter of widespread concern. | WHETHER it merely causes private pain or is the source of significant public embarrassment, intestinal gas is a vexing  problem for millions of Americans. Although not yet a topic for cocktail party conversation, the recent fiber revolution and the... | J Brody article on causes of intestinal gas; says problem is often self-created and is curable by change in habits or diet (M) | ",1201,09/01/1980, Jane Brody | , DIGESTIVE TRACT | , , 
4fc4a78c45c1498b0dac1b4b,Article, , THE DEATH AND LIFE OF DITH PRAN; A Story of Cambodia DITH PRAN DITH PRAN ,"We have one last hope for Pran: [Jon Swain] happens to have a second British pass port. It is in Swain's name, but we think we can doctor it and alter the name skillfully enough to give Pran a foreign identity. Al Rockotf sets to work with a pen, a razor blade and some glue. Swain has two middle names, so by erasing ""Jon"" and ""Swain,"" Pran has a new name. But It's a tongue twister-Ancketill Brewer and Pran spends hours trying to learn how to it and make it his own. We sub stitute Pran's photo for Swain's and the next day -- April 19--we turn the pass port in to the French with our own. A day later, the French come to Swain and tell him the ploy won t work; they say that the Khmer Rouge wiil spot the forgery as quickly as they did and that it could compromise the entire compound. They will kill him on the spot, the French say, and maybe us, too. They insist Pran has to leave. With their cruelty, the Khmer Rouge brought a new language words with a dehumanized ring, a me- chanical quality, - for atrocity, words that people had never heard before. There was the omnipresent Angka the word for the Khmer Rouge re- gime itself. It means simply ""the or- ganization."" No explanations were ever given for policy, just ""Angha says"" or ""Angka orders."" People were called , or ""instru- ments."" The Khmer nation was called Among the cables was one from Jon Swain, the British journalist whose life Pran had saved along with mine when we Were captured by the Khmer Rouge. It read: ""Syd- ney, this is the mest wonder- ful, wonderful news. Please give Pran my love and a big hug from someone who owes him everything."" Pran's reply to Jon read something like a Cambodian proverb: ""Hi, 3on. The world is round. Now I meet you again. Pran was in bad shape, but the is re- mained Love, Pran.""We have one last hope for Pran: [Jon Swain] happens to have a second British pass port. It is in Swain's name, but we think we can doctor it and alter the name skillfully enough to give Pran a foreign identity. Al Rockotf sets to work with a pen, a razor blade and some glue. Swain has two middle names, so by erasing ""Jon"" and ""Swain,"" Pran has a new name. But It's a tongue twister-Ancketill Brewer and Pran spends hours trying to learn how to it and make it his own. We sub stitute Pran's photo for Swain's and the next day -- April 19--we turn the pass port in to the French with our own. A day later, the French come to Swain and tell him the ploy won t work; they say that the Khmer Rouge wiil spot the forgery as quickly as they did and that it could compromise the entire compound. They will kill him on the spot, the French say, and maybe us, too. They insist Pran has to leave. With their cruelty, the Khmer Rouge brought a new language words with a dehumanized ring, a me- chanical quality, - for atrocity, words that people had never heard before. There was the omnipresent Angka the word for the Khmer Rouge re- gime itself. It means simply ""the or- ganization."" No explanations were ever given for policy, just ""Angha says"" or ""Angka orders."" People were called , or ""instru- ments."" The Khmer nation was called Among the cables was one from Jon Swain, the British journalist whose life Pran had saved along with mine when we Were captured by the Khmer Rouge. It read: ""Syd- ney, this is the mest wonder- ful, wonderful news. Please give Pran my love and a big hug from someone who owes him everything."" Pran's reply to Jon read something like a Cambodian proverb: ""Hi, 3on. The world is round. Now I meet you again. Pran was in bad shape, but the is re- mained Love, Pran."" | We have one last hope for Pran: [Jon Swain] happens to have a second British pass port. It is in Swain's name, but we think we can doctor it and alter the name skillfully enough to give Pran a foreign identity. Al Rockotf sets to work with a pen, a... | Sydney Schanberg article on his search in Cambodia for missing NY Times correspondent Dith Pran, which began in '75; he was finally located in Oct '79; illus (L) | ",23924,20/01/1980, Sydney Schanberg | , DITH PRAN | CAMBODIA | NEW YORK CITY | CAMBODIA | NEWS AND NEWS MEDIA | NEW YORK TIMES | PERSONNEL | HOUSING | COOPERATIVES | , CAMBODIA | NEW YORK CITY | CAMBODIA | , 
4fc4a78a45c1498b0dac18d4,Article, , CONNECTICUT HOUSING; The Market's Painful Metamorphosis ,"SWIFTLY changing styles of life coupled with energy considera tions and sky-high house prices are producing a situation where, as we go into the 1980's, the Connecticut perception of what constitutes an ideal home is undergoing a profound metamorphosis.SWIFTLY changing styles of life coupled with energy considera tions and sky-high house prices are producing a situation where, as we go into the 1980's, the Connecticut perception of what constitutes an ideal home is undergoing a profound metamorphosis. | SWIFTLY changing styles of life coupled with energy considera  tions and sky-high house prices are producing a situation where, as we go into the 1980's, the Connecticut perception of what constitutes an ideal home is undergoing a profound... | Article on housing needs in Conn for '80s; notes swiftly changing life styles, coupled with energy considerations and sky-high house prices, are profoundly changing perception of what constitutes ideal home; illus (L) | ",1634,27/01/1980, Andree BROOKS | , CONNECTICUT | HOUSING | , CONNECTICUT | , 
