Begin Date, End Date, Hits, Pages
20160101,20160107,3,1
20160108,20160114,3,1
20160115,20160121,3,1
20160122,20160128,3,1
20160129,20160131,0,0
20160201,20160207,2,1
20160208,20160214,2,1
20160215,20160221,5,1
20160222,20160228,4,1
20160229,20160229,0,0
20160301,20160307,0,0
20150101,20150107,0,0
20150108,20150114,2,1
20150115,20150121,3,1
20150122,20150128,0,0
20150129,20150131,2,1
20150201,20150207,3,1
20150208,20150214,0,0
20150215,20150221,1,1
20150222,20150228,1,1
20150229,20150229,0,0
20150301,20150307,0,0
20150308,20150314,2,1
20150315,20150321,0,0
20150322,20150328,2,1
20150329,20150331,0,0
20150401,20150407,0,0
20150408,20150414,1,1
20150415,20150421,0,0
20150422,20150428,1,1
20150429,20150430,1,1
20150501,20150507,2,1
20150508,20150514,1,1
20150515,20150521,0,0
20150522,20150528,0,0
20150529,20150531,1,1
20150601,20150607,4,1
20150608,20150614,4,1
20150615,20150621,0,0
20150622,20150628,4,1
20150629,20150630,1,1
20150701,20150707,0,0
20150708,20150714,1,1
20150715,20150721,3,1
20150722,20150728,6,1
20150729,20150731,1,1
20150801,20150807,2,1
20150808,20150814,2,1
20150815,20150821,1,1
20150822,20150828,2,1
20150829,20150831,0,0
20150901,20150907,3,1
20150908,20150914,2,1
20150915,20150921,2,1
20150922,20150928,1,1
20150929,20150930,1,1
20151001,20151007,3,1
20151008,20151014,1,1
20151015,20151021,3,1
20151022,20151028,5,1
20151029,20151031,5,1
20151101,20151107,0,0
20151108,20151114,3,1
20151115,20151121,0,0
20151122,20151128,2,1
20151129,20151130,0,0
20151201,20151207,3,1
20151208,20151214,7,1
20151215,20151221,0,0
20151222,20151228,1,1
20151229,20151231,0,0
20140101,20140107,1,1
20140108,20140114,2,1
20140115,20140121,4,1
20140122,20140128,2,1
20140129,20140131,2,1
20140201,20140207,4,1
20140208,20140214,3,1
20140215,20140221,1,1
20140222,20140228,0,0
20140229,20140229,1,1
20140301,20140307,4,1
20140308,20140314,5,1
20140315,20140321,1,1
20140322,20140328,0,0
20140329,20140331,0,0
20140401,20140407,1,1
20140408,20140414,1,1
20140415,20140421,1,1
20140422,20140428,2,1
20140429,20140430,2,1
20140501,20140507,3,1
20140508,20140514,3,1
20140515,20140521,5,1
20140522,20140528,2,1
20140529,20140531,1,1
20140601,20140607,1,1
20140608,20140614,2,1
20140615,20140621,2,1
20140622,20140628,1,1
20140629,20140630,1,1
20140701,20140707,1,1
20140708,20140714,1,1
20140715,20140721,5,1
20140722,20140728,1,1
20140729,20140731,0,0
20140801,20140807,2,1
20140808,20140814,3,1
20140815,20140821,2,1
20140822,20140828,4,1
20140829,20140831,1,1
20140901,20140907,3,1
20140908,20140914,4,1
20140915,20140921,2,1
20140922,20140928,3,1
20140929,20140930,0,0
20141001,20141007,2,1
20141008,20141014,2,1
20141015,20141021,0,0
20141022,20141028,0,0
20141029,20141031,0,0
20141101,20141107,1,1
20141108,20141114,0,0
20141115,20141121,1,1
20141122,20141128,1,1
20141129,20141130,0,0
20141201,20141207,0,0
20141208,20141214,1,1
20141215,20141221,1,1
20141222,20141228,2,1
20141229,20141231,2,1
20130101,20130107,3,1
20130108,20130114,2,1
20130115,20130121,1,1
20130122,20130128,3,1
20130129,20130131,2,1
20130201,20130207,0,0
20130208,20130214,3,1
20130215,20130221,1,1
20130222,20130228,2,1
20130229,20130229,0,0
20130301,20130307,5,1
20130308,20130314,3,1
20130315,20130321,1,1
20130322,20130328,0,0
20130329,20130331,0,0
20130401,20130407,2,1
20130408,20130414,4,1
20130415,20130421,2,1
20130422,20130428,3,1
20130429,20130430,0,0
20130501,20130507,1,1
20130508,20130514,0,0
20130515,20130521,3,1
20130522,20130528,1,1
20130529,20130531,1,1
20130601,20130607,2,1
20130608,20130614,0,0
20130615,20130621,1,1
20130622,20130628,2,1
20130629,20130630,1,1
20130701,20130707,1,1
20130708,20130714,2,1
20130715,20130721,2,1
20130722,20130728,4,1
20130729,20130731,0,0
20130801,20130807,1,1
20130808,20130814,2,1
20130815,20130821,1,1
20130822,20130828,0,0
20130829,20130831,0,0
20130901,20130907,0,0
20130908,20130914,2,1
20130915,20130921,3,1
20130922,20130928,4,1
20130929,20130930,0,0
20131001,20131007,4,1
20131008,20131014,4,1
20131015,20131021,1,1
20131022,20131028,2,1
20131029,20131031,2,1
20131101,20131107,4,1
20131108,20131114,3,1
20131115,20131121,1,1
20131122,20131128,2,1
20131129,20131130,0,0
20131201,20131207,1,1
20131208,20131214,0,0
20131215,20131221,1,1
20131222,20131228,3,1
20131229,20131231,1,1
20120101,20120107,2,1
20120108,20120114,2,1
20120115,20120121,3,1
20120122,20120128,3,1
20120129,20120131,2,1
20120201,20120207,1,1
20120208,20120214,0,0
20120215,20120221,2,1
20120222,20120228,4,1
20120229,20120229,0,0
20120301,20120307,0,0
20120308,20120314,2,1
20120315,20120321,0,0
20120322,20120328,5,1
20120329,20120331,0,0
20120401,20120407,1,1
20120408,20120414,6,1
20120415,20120421,4,1
20120422,20120428,2,1
