Begin Date, End Date, Hits, Pages
20160101,20160107,1,1
20160108,20160114,0,0
20160115,20160121,3,1
20160122,20160128,2,1
20160129,20160131,0,0
20160201,20160207,0,0
20160208,20160214,0,0
20160215,20160221,1,1
20160222,20160228,0,0
20160229,20160229,0,0
20150101,20150107,1,1
20150108,20150114,1,1
20150115,20150121,1,1
20150122,20150128,2,1
20150129,20150131,1,1
20150201,20150207,2,1
20150208,20150214,1,1
20150215,20150221,1,1
20150222,20150228,2,1
20150229,20150229,0,0
20150301,20150307,2,1
20150308,20150314,1,1
20150315,20150321,2,1
20150322,20150328,1,1
20150329,20150331,6,1
20150401,20150407,6,1
20150408,20150414,0,0
20150415,20150421,1,1
20150422,20150428,0,0
20150429,20150430,1,1
20150501,20150507,5,1
20150508,20150514,0,0
20150515,20150521,1,1
20150522,20150528,1,1
20150529,20150531,0,0
20150601,20150607,5,1
20150608,20150614,0,0
20150615,20150621,1,1
20150622,20150628,1,1
20150629,20150630,7,1
20150701,20150707,0,0
20150708,20150714,0,0
20150715,20150721,4,1
20150722,20150728,0,0
20150729,20150731,0,0
20150801,20150807,0,0
20150808,20150814,0,0
20150815,20150821,0,0
20150822,20150828,0,0
20150829,20150831,1,1
20150901,20150907,0,0
20150908,20150914,3,1
20150915,20150921,2,1
20150922,20150928,0,0
20150929,20150930,0,0
20151001,20151007,1,1
20151008,20151014,1,1
20151015,20151021,1,1
20151022,20151028,3,1
20151029,20151031,0,0
20151101,20151107,0,0
20151108,20151114,0,0
20151115,20151121,2,1
20151122,20151128,0,0
20151129,20151130,0,0
20151201,20151207,0,0
20151208,20151214,0,0
20151215,20151221,0,0
20151222,20151228,1,1
20151229,20151231,0,0
20140101,20140107,1,1
20140108,20140114,2,1
20140115,20140121,4,1
20140122,20140128,2,1
20140129,20140131,1,1
20140201,20140207,2,1
20140208,20140214,1,1
20140215,20140221,8,1
20140222,20140228,3,1
20140229,20140229,0,0
20140301,20140307,1,1
20140308,20140314,6,1
20140315,20140321,1,1
20140322,20140328,3,1
20140329,20140331,0,0
20140401,20140407,1,1
20140408,20140414,2,1
20140415,20140421,1,1
20140422,20140428,1,1
20140429,20140430,0,0
20140501,20140507,3,1
20140508,20140514,2,1
20140515,20140521,4,1
20140522,20140528,1,1
20140529,20140531,1,1
20140601,20140607,2,1
20140608,20140614,1,1
20140615,20140621,3,1
20140622,20140628,2,1
20140629,20140630,0,0
20140701,20140707,1,1
20140708,20140714,2,1
20140715,20140721,1,1
20140722,20140728,2,1
20140729,20140731,0,0
20140801,20140807,0,0
20140808,20140814,1,1
20140815,20140821,1,1
20140822,20140828,1,1
20140829,20140831,2,1
20140901,20140907,0,0
20140908,20140914,1,1
20140915,20140921,1,1
20140922,20140928,1,1
20140929,20140930,1,1
20141001,20141007,3,1
20141008,20141014,1,1
20141015,20141021,3,1
20141022,20141028,3,1
20141029,20141031,1,1
20141101,20141107,3,1
20141108,20141114,2,1
20141115,20141121,1,1
20141122,20141128,1,1
20141129,20141130,1,1
20141201,20141207,1,1
20141208,20141214,1,1
20141215,20141221,3,1
20141222,20141228,4,1
20141229,20141231,0,0
20130101,20130107,4,1
20130108,20130114,2,1
20130115,20130121,2,1
20130122,20130128,1,1
20130129,20130131,0,0
20130201,20130207,1,1
20130208,20130214,1,1
20130215,20130221,3,1
20130222,20130228,2,1
20130229,20130229,1,1
20130301,20130307,2,1
20130308,20130314,1,1
20130315,20130321,1,1
20130322,20130328,3,1
20130329,20130331,3,1
20130401,20130407,2,1
20130408,20130414,1,1
20130415,20130421,1,1
20130422,20130428,4,1
20130429,20130430,0,0
20130501,20130507,3,1
20130508,20130514,1,1
20130515,20130521,4,1
20130522,20130528,3,1
20130529,20130531,2,1
20130601,20130607,2,1
20130608,20130614,5,1
20130615,20130621,3,1
20130622,20130628,3,1
20130629,20130630,0,0
20130701,20130707,3,1
20130708,20130714,2,1
20130715,20130721,4,1
20130722,20130728,4,1
20130729,20130731,0,0
20130801,20130807,2,1
20130808,20130814,3,1
20130815,20130821,2,1
20130822,20130828,2,1
20130829,20130831,1,1
20130901,20130907,2,1
20130908,20130914,1,1
20130915,20130921,1,1
20130922,20130928,3,1
20130929,20130930,0,0
20131001,20131007,2,1
20131008,20131014,2,1
20131015,20131021,5,1
20131022,20131028,1,1
20131029,20131031,2,1
20131101,20131107,5,1
20131108,20131114,3,1
20131115,20131121,8,1
20131122,20131128,8,1
20131129,20131130,1,1
20131201,20131207,1,1
20131208,20131214,2,1
20131215,20131221,4,1
20131222,20131228,2,1
20131229,20131231,1,1
20120101,20120107,0,0
20120108,20120114,2,1
20120115,20120121,1,1
20120122,20120128,1,1
20120129,20120131,0,0
20120201,20120207,0,0
20120208,20120214,0,0
20120215,20120221,5,1
20120222,20120228,1,1
20120229,20120229,0,0
20120301,20120307,0,0
20120308,20120314,0,0
20120315,20120321,0,0
20120322,20120328,0,0
20120329,20120331,0,0
20120401,20120407,1,1
20120408,20120414,0,0
20120415,20120421,0,0
20120422,20120428,3,1
20120429,20120430,2,1
20120501,20120507,4,1
20120508,20120514,5,1
20120515,20120521,4,1
20120522,20120528,2,1
20120529,20120531,0,0
20120601,20120607,0,0
20120608,20120614,0,0
20120615,20120621,0,0
20120622,20120628,1,1
20120629,20120630,0,0
20120701,20120707,1,1
20120708,20120714,2,1
20120715,20120721,0,0
20120722,20120728,0,0
20120729,20120731,0,0
20120801,20120807,0,0
20120808,20120814,0,0
20120815,20120821,0,0
20120822,20120828,0,0
