Begin Date, End Date, Hits, Pages
20160101,20160107,40,4
20160108,20160114,59,6
20160115,20160121,62,7
20160122,20160128,46,5
20160129,20160131,28,3
20160201,20160207,60,6
20160208,20160214,46,5
20160215,20160221,33,4
20160222,20160228,44,5
20160229,20160229,12,2
20160301,20160307,37,4
20150101,20150107,40,4
20150108,20150114,47,5
20150115,20150121,60,6
20150122,20150128,66,7
20150129,20150131,19,2
20150201,20150207,78,8
20150208,20150214,59,6
20150215,20150221,52,6
20150222,20150228,60,6
20150229,20150229,11,2
20150301,20150307,71,8
20150308,20150314,55,6
20150315,20150321,55,6
20150322,20150328,70,7
20150329,20150331,21,3
20150401,20150407,35,4
20150408,20150414,50,5
20150415,20150421,49,5
20150422,20150428,43,5
20150429,20150430,27,3
20150501,20150507,58,6
20150508,20150514,38,4
20150515,20150521,34,4
20150522,20150528,24,3
20150529,20150531,13,2
20150601,20150607,52,6
20150608,20150614,49,5
20150615,20150621,65,7
20150622,20150628,108,11
20150629,20150630,8,1
20150701,20150707,58,6
20150708,20150714,48,5
20150715,20150721,54,6
20150722,20150728,49,5
20150729,20150731,25,3
20150801,20150807,49,5
20150808,20150814,33,4
20150815,20150821,39,4
20150822,20150828,31,4
20150829,20150831,11,2
20150901,20150907,34,4
20150908,20150914,48,5
20150915,20150921,45,5
20150922,20150928,62,7
20150929,20150930,14,2
20151001,20151007,38,4
20151008,20151014,48,5
20151015,20151021,58,6
20151022,20151028,60,6
20151029,20151031,37,4
20151101,20151107,63,7
20151108,20151114,49,5
20151115,20151121,46,5
20151122,20151128,35,4
20151129,20151130,9,1
20151201,20151207,35,4
20151208,20151214,47,5
20151215,20151221,57,6
20151222,20151228,27,3
20151229,20151231,8,1
20140101,20140107,76,8
20140108,20140114,90,9
20140115,20140121,56,6
20140122,20140128,81,9
20140129,20140131,29,3
20140201,20140207,75,8
20140208,20140214,71,8
20140215,20140221,58,6
20140222,20140228,73,8
20140229,20140229,6,1
20140301,20140307,56,6
20140308,20140314,64,7
20140315,20140321,59,6
20140322,20140328,101,11
20140329,20140331,42,5
20140401,20140407,98,10
20140408,20140414,82,9
20140415,20140421,69,7
20140422,20140428,59,6
20140429,20140430,23,3
20140501,20140507,61,7
20140508,20140514,56,6
20140515,20140521,69,7
20140522,20140528,54,6
20140529,20140531,31,4
20140601,20140607,58,6
20140608,20140614,50,5
20140615,20140621,58,6
20140622,20140628,58,6
20140629,20140630,29,3
20140701,20140707,82,9
20140708,20140714,64,7
20140715,20140721,47,5
20140722,20140728,79,8
20140729,20140731,43,5
20140801,20140807,41,5
20140808,20140814,46,5
20140815,20140821,42,5
20140822,20140828,54,6
20140829,20140831,16,2
20140901,20140907,55,6
20140908,20140914,48,5
20140915,20140921,67,7
20140922,20140928,48,5
20140929,20140930,19,2
20141001,20141007,67,7
20141008,20141014,76,8
20141015,20141021,57,6
20141022,20141028,59,6
20141029,20141031,27,3
20141101,20141107,87,9
20141108,20141114,79,8
20141115,20141121,93,10
20141122,20141128,53,6
20141129,20141130,9,1
20141201,20141207,53,6
20141208,20141214,52,6
20141215,20141221,56,6
20141222,20141228,27,3
20141229,20141231,21,3
20130101,20130107,24,3
20130108,20130114,28,3
20130115,20130121,43,5
20130122,20130128,29,3
20130129,20130131,12,2
20130201,20130207,33,4
20130208,20130214,46,5
20130215,20130221,29,3
20130222,20130228,34,4
20130229,20130229,3,1
20130301,20130307,34,4
20130308,20130314,20,2
20130315,20130321,31,4
20130322,20130328,50,5
20130329,20130331,9,1
20130401,20130407,26,3
20130408,20130414,31,4
20130415,20130421,21,3
20130422,20130428,32,4
20130429,20130430,8,1
20130501,20130507,41,5
20130508,20130514,22,3
20130515,20130521,34,4
20120101,20120107,39,4
20120108,20120114,42,5
20120115,20120121,55,6
20120122,20120128,50,5
20120129,20120131,25,3
20120201,20120207,36,4
20120208,20120214,71,8
20120215,20120221,40,4
20120222,20120228,46,5
20120229,20120229,6,1
20120301,20120307,60,6
20120308,20120314,50,5
20120315,20120321,57,6
20120322,20120328,81,9
20120329,20120331,25,3
20120401,20120407,58,6
20120408,20120414,49,5
20120415,20120421,38,4
20120422,20120428,44,5
20120429,20120430,11,2
20120501,20120507,45,5
20120508,20120514,45,5
20120515,20120521,36,4
20120522,20120528,37,4
20120529,20120531,17,2
20120601,20120607,40,4
20120608,20120614,42,5
20120615,20120621,38,4
20120622,20120628,79,8
20120629,20120630,44,5
20120701,20120707,62,7
20120708,20120714,46,5
20120715,20120721,41,5
20120722,20120728,47,5
20120729,20120731,18,2
20120801,20120807,32,4
20120808,20120814,49,5
20120815,20120821,53,6
20120822,20120828,54,6
