Begin Date, End Date, Hits, Pages
20020101,20020107,0,0
20020108,20020114,0,0
20020115,20020121,0,0
20020122,20020128,0,0
20020129,20020131,0,0
20020201,20020207,0,0
20020208,20020214,0,0
20020215,20020221,0,0
20020222,20020228,0,0
20020229,20020229,0,0
20020301,20020307,0,0
20020308,20020314,0,0
20020315,20020321,0,0
20020322,20020328,0,0
20020329,20020331,0,0
20020401,20020407,0,0
20020408,20020414,0,0
20020415,20020421,0,0
20020422,20020428,0,0
20020429,20020430,0,0
20020501,20020507,0,0
20020508,20020514,0,0
20020515,20020521,0,0
20020522,20020528,0,0
20020529,20020531,0,0
20020601,20020607,0,0
20020608,20020614,0,0
20020615,20020621,0,0
20020622,20020628,0,0
20020629,20020630,0,0
20020701,20020707,0,0
20020708,20020714,0,0
20020715,20020721,0,0
20020722,20020728,0,0
20020729,20020731,0,0
20020801,20020807,0,0
20020808,20020814,0,0
20020815,20020821,0,0
20020822,20020828,0,0
20020829,20020831,0,0
20020901,20020907,0,0
20020908,20020914,0,0
20020915,20020921,0,0
20020922,20020928,10,1
20020929,20020930,0,0
20021001,20021007,0,0
20021008,20021014,0,0
20021015,20021021,0,0
20021022,20021028,0,0
20021029,20021031,0,0
20021101,20021107,0,0
20021108,20021114,0,0
20021115,20021121,0,0
20021122,20021128,0,0
20021129,20021130,0,0
20021201,20021207,0,0
20021208,20021214,0,0
20021215,20021221,0,0
20021222,20021228,0,0
20021229,20021231,0,0
20010101,20010107,0,0
20010108,20010114,0,0
20010115,20010121,0,0
20010122,20010128,0,0
20010129,20010131,0,0
20010201,20010207,0,0
20010208,20010214,0,0
20010215,20010221,0,0
20010222,20010228,0,0
20010229,20010229,0,0
20010301,20010307,0,0
20010308,20010314,0,0
20010315,20010321,0,0
20010322,20010328,0,0
20010329,20010331,0,0
20010401,20010407,0,0
20010408,20010414,0,0
20010415,20010421,0,0
20010422,20010428,0,0
20010429,20010430,0,0
20010501,20010507,0,0
20010508,20010514,0,0
20010515,20010521,0,0
20010522,20010528,0,0
20010529,20010531,0,0
20010601,20010607,0,0
20010608,20010614,0,0
20010615,20010621,0,0
20010622,20010628,0,0
20010629,20010630,0,0
20010701,20010707,0,0
20010708,20010714,0,0
20010715,20010721,0,0
20010722,20010728,0,0
20010729,20010731,0,0
20010801,20010807,0,0
20010808,20010814,0,0
20010815,20010821,0,0
20010822,20010828,0,0
20010829,20010831,0,0
20010901,20010907,0,0
20010908,20010914,0,0
20010915,20010921,0,0
20010922,20010928,0,0
20010929,20010930,0,0
