Begin Date, End Date, Hits, Pages
20160101,20160107,10,1
20160108,20160114,2,1
20160115,20160121,3,1
20160122,20160128,1,1
20160129,20160131,0,0
20160201,20160207,2,1
20160208,20160214,8,1
20160215,20160221,3,1
20160222,20160228,10,1
20160229,20160229,1,1
20160301,20160307,1,1
20150101,20150107,4,1
20150108,20150114,4,1
20150115,20150121,2,1
20150122,20150128,2,1
20150129,20150131,3,1
20150201,20150207,7,1
20150208,20150214,7,1
20150215,20150221,6,1
20150222,20150228,9,1
20150229,20150229,0,0
20150301,20150307,4,1
20150308,20150314,3,1
20150315,20150321,7,1
20150322,20150328,2,1
20150329,20150331,4,1
20150401,20150407,6,1
20150408,20150414,7,1
20150415,20150421,4,1
20150422,20150428,5,1
20150429,20150430,3,1
20150501,20150507,4,1
20150508,20150514,9,1
20150515,20150521,6,1
20150522,20150528,1,1
20150529,20150531,2,1
20150601,20150607,3,1
20150608,20150614,8,1
20150615,20150621,16,2
20150622,20150628,7,1
20150629,20150630,1,1
20150701,20150707,4,1
20150708,20150714,12,2
20150715,20150721,0,0
20150722,20150728,6,1
20150729,20150731,4,1
20150801,20150807,5,1
20150808,20150814,10,1
20150815,20150821,9,1
20150822,20150828,2,1
20150829,20150831,2,1
20150901,20150907,5,1
20150908,20150914,7,1
20150915,20150921,6,1
20150922,20150928,11,2
20150929,20150930,1,1
20151001,20151007,5,1
20151008,20151014,6,1
20151015,20151021,8,1
20151022,20151028,10,1
20151029,20151031,5,1
20151101,20151107,10,1
20151108,20151114,7,1
20151115,20151121,6,1
20151122,20151128,12,2
20151129,20151130,5,1
20151201,20151207,10,1
20151208,20151214,3,1
20151215,20151221,7,1
20151222,20151228,4,1
20151229,20151231,2,1
20140101,20140107,3,1
20140108,20140114,9,1
20140115,20140121,10,1
20140122,20140128,8,1
20140129,20140131,6,1
20140201,20140207,3,1
20140208,20140214,11,2
20140215,20140221,5,1
20140222,20140228,16,2
20140229,20140229,1,1
20140301,20140307,11,2
20140308,20140314,8,1
20140315,20140321,6,1
20140322,20140328,7,1
20140329,20140331,1,1
20140401,20140407,6,1
20140408,20140414,2,1
20140415,20140421,12,2
20140422,20140428,9,1
20140429,20140430,1,1
20140501,20140507,4,1
20140508,20140514,10,1
20140515,20140521,6,1
20140522,20140528,10,1
20140529,20140531,8,1
20140601,20140607,10,1
20140608,20140614,6,1
20140615,20140621,7,1
20140622,20140628,13,2
20140629,20140630,2,1
20140701,20140707,7,1
20140708,20140714,8,1
20140715,20140721,6,1
20140722,20140728,2,1
20140729,20140731,2,1
20140801,20140807,4,1
20140808,20140814,0,0
20140815,20140821,6,1
20140822,20140828,5,1
20140829,20140831,3,1
20140901,20140907,14,2
20140908,20140914,7,1
20140915,20140921,8,1
20140922,20140928,7,1
20140929,20140930,0,0
20141001,20141007,7,1
20141008,20141014,6,1
20141015,20141021,6,1
20141022,20141028,2,1
20141029,20141031,1,1
20141101,20141107,6,1
20141108,20141114,5,1
20141115,20141121,12,2
20141122,20141128,11,2
20141129,20141130,2,1
20141201,20141207,9,1
20141208,20141214,3,1
20141215,20141221,9,1
20141222,20141228,6,1
20141229,20141231,2,1
20130101,20130107,15,2
20130108,20130114,6,1
20130115,20130121,6,1
20130122,20130128,4,1
20130129,20130131,2,1
20130201,20130207,7,1
20130208,20130214,7,1
20130215,20130221,9,1
20130222,20130228,10,1
20130229,20130229,2,1
20130301,20130307,6,1
20130308,20130314,16,2
20130315,20130321,7,1
20130322,20130328,9,1
20130329,20130331,1,1
20130401,20130407,4,1
20130408,20130414,5,1
20130415,20130421,5,1
20130422,20130428,3,1
20130429,20130430,2,1
20130501,20130507,8,1
20130508,20130514,7,1
20130515,20130521,7,1
20130522,20130528,4,1
20130529,20130531,3,1
20130601,20130607,5,1
20130608,20130614,4,1
20130615,20130621,9,1
20130622,20130628,8,1
20130629,20130630,1,1
20130701,20130707,6,1
20130708,20130714,4,1
20130715,20130721,5,1
20130722,20130728,2,1
20130729,20130731,3,1
20130801,20130807,3,1
20130808,20130814,5,1
20130815,20130821,2,1
20130822,20130828,3,1
20130829,20130831,0,0
20130901,20130907,5,1
20130908,20130914,7,1
20130915,20130921,4,1
20130922,20130928,4,1
20130929,20130930,1,1
20131001,20131007,4,1
20131008,20131014,4,1
20131015,20131021,13,2
20131022,20131028,4,1
20131029,20131031,1,1
20131101,20131107,5,1
20131108,20131114,4,1
20131115,20131121,4,1
20131122,20131128,1,1
20131129,20131130,1,1
20131201,20131207,3,1
20131208,20131214,3,1
20131215,20131221,3,1
20131222,20131228,3,1
20131229,20131231,1,1
20120101,20120107,10,1
20120108,20120114,13,2
20120115,20120121,13,2
20120122,20120128,10,1
20120129,20120131,6,1
20120201,20120207,5,1
20120208,20120214,14,2
20120215,20120221,6,1
20120222,20120228,4,1
20120229,20120229,0,0
20120301,20120307,3,1
20120308,20120314,4,1
20120315,20120321,8,1
20120322,20120328,6,1
20120329,20120331,3,1
20120401,20120407,6,1
20120408,20120414,11,2
20120415,20120421,17,2
20120422,20120428,7,1
20120429,20120430,1,1
20120501,20120507,18,2
20120508,20120514,11,2
20120515,20120521,11,2
20120522,20120528,6,1
20120529,20120531,4,1
20120601,20120607,18,2
20120608,20120614,14,2
20120615,20120621,8,1
20120622,20120628,13,2
20120629,20120630,1,1
20120701,20120707,11,2
20120708,20120714,7,1
20120715,20120721,6,1
20120722,20120728,9,1
20120729,20120731,2,1
20120801,20120807,7,1
20120808,20120814,11,2
20120815,20120821,9,1
20120822,20120828,12,2
20120829,20120831,1,1
20120901,20120907,7,1
20120908,20120914,13,2
20120915,20120921,8,1
20120922,20120928,7,1
20120929,20120930,2,1
20121001,20121007,4,1
20121008,20121014,9,1
20121015,20121021,7,1
20121022,20121028,6,1
20121029,20121031,3,1
20121101,20121107,1,1
20121108,20121114,7,1
20121115,20121121,6,1
20121122,20121128,2,1
20121129,20121130,0,0
20121201,20121207,2,1
20121208,20121214,7,1
20121215,20121221,9,1
20121222,20121228,6,1
20121229,20121231,3,1
20110101,20110107,4,1
20110108,20110114,4,1
20110115,20110121,15,2
20110122,20110128,10,1
20110129,20110131,5,1
20110201,20110207,9,1
20110208,20110214,9,1
20110215,20110221,4,1
20110222,20110228,2,1
20110229,20110229,2,1
20110301,20110307,6,1
20110308,20110314,6,1
20110315,20110321,2,1
20110322,20110328,4,1
20110329,20110331,5,1
20110401,20110407,4,1
20110408,20110414,6,1
20110415,20110421,5,1
20110422,20110428,4,1
20110429,20110430,2,1
20110501,20110507,4,1
20110508,20110514,3,1
20110515,20110521,4,1
20110522,20110528,7,1
20110529,20110531,3,1
20110601,20110607,6,1
20110608,20110614,7,1
20110615,20110621,5,1
20110622,20110628,1,1
20110629,20110630,0,0
20110701,20110707,7,1
20110708,20110714,5,1
20110715,20110721,7,1
20110722,20110728,6,1
20110729,20110731,6,1
20110801,20110807,4,1
20110808,20110814,7,1
20110815,20110821,14,2
20110822,20110828,16,2
20110829,20110831,3,1
20110901,20110907,6,1
20110908,20110914,5,1
20110915,20110921,14,2
20110922,20110928,7,1
20110929,20110930,1,1
20111001,20111007,15,2
20111008,20111014,3,1
20111015,20111021,9,1
20111022,20111028,11,2
20111029,20111031,0,0
20111101,20111107,13,2
20111108,20111114,4,1
20111115,20111121,10,1
20111122,20111128,12,2
20111129,20111130,2,1
20111201,20111207,8,1
20111208,20111214,8,1
20111215,20111221,10,1
20111222,20111228,9,1
20111229,20111231,2,1
20100101,20100107,8,1
20100108,20100114,10,1
20100115,20100121,7,1
20100122,20100128,15,2
20100129,20100131,1,1
20100201,20100207,6,1
20100208,20100214,13,2
20100215,20100221,10,1
20100222,20100228,6,1
20100229,20100229,2,1
20100301,20100307,8,1
20100308,20100314,5,1
20100315,20100321,12,2
20100322,20100328,14,2
20100329,20100331,2,1
20100401,20100407,11,2
20100408,20100414,4,1
20100415,20100421,11,2
20100422,20100428,7,1
20100429,20100430,0,0
20100501,20100507,6,1
20100508,20100514,4,1
20100515,20100521,8,1
20100522,20100528,4,1
20100529,20100531,1,1
20100601,20100607,8,1
20100608,20100614,7,1
20100615,20100621,10,1
20100622,20100628,3,1
20100629,20100630,1,1
20100701,20100707,2,1
20100708,20100714,10,1
20100715,20100721,13,2
20100722,20100728,9,1
20100729,20100731,2,1
20100801,20100807,7,1
20100808,20100814,4,1
20100815,20100821,1,1
20100822,20100828,3,1
20100829,20100831,3,1
20100901,20100907,9,1
20100908,20100914,3,1
20100915,20100921,12,2
20100922,20100928,11,2
20100929,20100930,0,0
20101001,20101007,10,1
20101008,20101014,8,1
20101015,20101021,9,1
20101022,20101028,7,1
20101029,20101031,3,1
20101101,20101107,6,1
20101108,20101114,4,1
20101115,20101121,7,1
20101122,20101128,3,1
20101129,20101130,2,1
20101201,20101207,6,1
20101208,20101214,5,1
20101215,20101221,5,1
20101222,20101228,4,1
20101229,20101231,4,1
20090101,20090107,6,1
20090108,20090114,16,2
20090115,20090121,1,1
20090122,20090128,2,1
20090129,20090131,3,1
20090201,20090207,7,1
20090208,20090214,9,1
20090215,20090221,4,1
20090222,20090228,5,1
20090229,20090229,0,0
20090301,20090307,7,1
20090308,20090314,2,1
20090315,20090321,8,1
20090322,20090328,10,1
20090329,20090331,4,1
20090401,20090407,0,0
20090408,20090414,7,1
20090415,20090421,9,1
20090422,20090428,4,1
20090429,20090430,0,0
20090501,20090507,7,1
20090508,20090514,8,1
20090515,20090521,11,2
20090522,20090528,7,1
20090529,20090531,5,1
20090601,20090607,6,1
20090608,20090614,14,2
20090615,20090621,9,1
20090622,20090628,12,2
20090629,20090630,5,1
20090701,20090707,6,1
20090708,20090714,8,1
20090715,20090721,11,2
20090722,20090728,3,1
20090729,20090731,5,1
20090801,20090807,6,1
20090808,20090814,6,1
20090815,20090821,5,1
20090822,20090828,3,1
20090829,20090831,6,1
20090901,20090907,5,1
20090908,20090914,9,1
20090915,20090921,12,2
20090922,20090928,10,1
20090929,20090930,1,1
20091001,20091007,9,1
20091008,20091014,18,2
20091015,20091021,4,1
20091022,20091028,4,1
20091029,20091031,2,1
20091101,20091107,9,1
20091108,20091114,9,1
20091115,20091121,4,1
20091122,20091128,7,1
20091129,20091130,1,1
20091201,20091207,5,1
20091208,20091214,2,1
20091215,20091221,2,1
20091222,20091228,5,1
20091229,20091231,3,1
20080101,20080107,5,1
20080108,20080114,6,1
20080115,20080121,3,1
20080122,20080128,10,1
20080129,20080131,2,1
20080201,20080207,1,1
20080208,20080214,5,1
20080215,20080221,5,1
20080222,20080228,3,1
20080229,20080229,1,1
20080301,20080307,6,1
20080308,20080314,1,1
20080315,20080321,4,1
20080322,20080328,6,1
20080329,20080331,0,0
20080401,20080407,4,1
20080408,20080414,5,1
20080415,20080421,6,1
20080422,20080428,8,1
20080429,20080430,1,1
20080501,20080507,10,1
20080508,20080514,5,1
20080515,20080521,5,1
20080522,20080528,5,1
20080529,20080531,1,1
20080601,20080607,10,1
20080608,20080614,3,1
20080615,20080621,9,1
20080622,20080628,6,1
20080629,20080630,0,0
20080701,20080707,3,1
20080708,20080714,8,1
20080715,20080721,4,1
20080722,20080728,4,1
20080729,20080731,1,1
20080801,20080807,7,1
20080808,20080814,6,1
20080815,20080821,7,1
20080822,20080828,8,1
20080829,20080831,3,1
20080901,20080907,3,1
20080908,20080914,2,1
20080915,20080921,11,2
20080922,20080928,5,1
20080929,20080930,1,1
20081001,20081007,5,1
20081008,20081014,7,1
20081015,20081021,7,1
20081022,20081028,7,1
20081029,20081031,4,1
20081101,20081107,2,1
20081108,20081114,8,1
20081115,20081121,6,1
20081122,20081128,6,1
20081129,20081130,1,1
20081201,20081207,8,1
20081208,20081214,7,1
20081215,20081221,15,2
20081222,20081228,4,1
20081229,20081231,1,1
20070101,20070107,7,1
20070108,20070114,13,2
20070115,20070121,11,2
20070122,20070128,7,1
20070129,20070131,2,1
20070201,20070207,4,1
20070208,20070214,4,1
20070215,20070221,7,1
20070222,20070228,4,1
20070229,20070229,0,0
20070301,20070307,3,1
20070308,20070314,5,1
20070315,20070321,2,1
20070322,20070328,3,1
20070329,20070331,2,1
20070401,20070407,8,1
20070408,20070414,5,1
20070415,20070421,4,1
20070422,20070428,5,1
20070429,20070430,1,1
20070501,20070507,6,1
20070508,20070514,3,1
20070515,20070521,5,1
20070522,20070528,11,2
20070529,20070531,4,1
20070601,20070607,10,1
20070608,20070614,8,1
20070615,20070621,7,1
20070622,20070628,5,1
20070629,20070630,2,1
20070701,20070707,6,1
20070708,20070714,10,1
20070715,20070721,3,1
20070722,20070728,8,1
20070729,20070731,2,1
20070801,20070807,6,1
20070808,20070814,7,1
20070815,20070821,8,1
20070822,20070828,5,1
20070829,20070831,8,1
20070901,20070907,5,1
20070908,20070914,4,1
20070915,20070921,3,1
20070922,20070928,4,1
20070929,20070930,1,1
20071001,20071007,2,1
20071008,20071014,8,1
20071015,20071021,6,1
20071022,20071028,9,1
20071029,20071031,6,1
20071101,20071107,10,1
20071108,20071114,13,2
20071115,20071121,3,1
20071122,20071128,5,1
20071129,20071130,7,1
20071201,20071207,5,1
20071208,20071214,3,1
20071215,20071221,7,1
20071222,20071228,2,1
20071229,20071231,1,1
20060101,20060107,4,1
20060108,20060114,6,1
20060115,20060121,5,1
20060122,20060128,4,1
20060129,20060131,2,1
20060201,20060207,8,1
20060208,20060214,7,1
20060215,20060221,2,1
20060222,20060228,4,1
20060229,20060229,0,0
20060301,20060307,4,1
20060308,20060314,7,1
20060315,20060321,3,1
20060322,20060328,1,1
20060329,20060331,1,1
20060401,20060407,6,1
20060408,20060414,2,1
20060415,20060421,8,1
20060422,20060428,7,1
20060429,20060430,0,0
20060501,20060507,10,1
20060508,20060514,4,1
20060515,20060521,6,1
20060522,20060528,4,1
20060529,20060531,2,1
20060601,20060607,7,1
20060608,20060614,5,1
20060615,20060621,4,1
20060622,20060628,6,1
20060629,20060630,1,1
20060701,20060707,6,1
20060708,20060714,5,1
20060715,20060721,10,1
20060722,20060728,12,2
20060729,20060731,4,1
20060801,20060807,6,1
20060808,20060814,4,1
20060815,20060821,3,1
20060822,20060828,7,1
20060829,20060831,6,1
