Begin Date, End Date, Hits, Pages
20070101,20070107,10,1
20070108,20070114,14,2
20070115,20070121,13,2
20070122,20070128,8,1
20070129,20070131,4,1
20070201,20070207,9,1
20070208,20070214,17,2
20070215,20070221,23,3
20070222,20070228,11,2
20070229,20070229,1,1
20070301,20070307,14,2
20070308,20070314,9,1
20070315,20070321,11,2
20070322,20070328,3,1
20070329,20070331,6,1
20070401,20070407,5,1
20070408,20070414,14,2
20070415,20070421,20,2
20070422,20070428,14,2
20070429,20070430,4,1
20070501,20070507,8,1
20070508,20070514,13,2
20070515,20070521,15,2
20070522,20070528,16,2
20070529,20070531,2,1
20070601,20070607,19,2
20070608,20070614,12,2
20070615,20070621,6,1
20070622,20070628,19,2
20070629,20070630,1,1
20070701,20070707,7,1
20070708,20070714,3,1
20070715,20070721,18,2
20070722,20070728,10,1
20070729,20070731,5,1
20070801,20070807,14,2
20070808,20070814,5,1
20070815,20070821,6,1
20070822,20070828,12,2
20070829,20070831,5,1
20070901,20070907,7,1
20070908,20070914,6,1
20070915,20070921,11,2
20070922,20070928,9,1
20070929,20070930,2,1
20071001,20071007,12,2
20071008,20071014,10,1
20071015,20071021,16,2
20071022,20071028,11,2
20071029,20071031,2,1
20071101,20071107,9,1
20071108,20071114,16,2
20071115,20071121,4,1
20071122,20071128,10,1
20071129,20071130,2,1
20071201,20071207,15,2
20071208,20071214,14,2
20071215,20071221,12,2
20071222,20071228,13,2
20071229,20071231,1,1
20060101,20060107,8,1
20060108,20060114,17,2
20060115,20060121,11,2
20060122,20060128,5,1
20060129,20060131,8,1
20060201,20060207,14,2
20060208,20060214,14,2
20060215,20060221,8,1
20060222,20060228,6,1
20060229,20060229,0,0
20060301,20060307,10,1
20060308,20060314,13,2
20060315,20060321,9,1
20060322,20060328,7,1
20060329,20060331,4,1
20060401,20060407,11,2
20060408,20060414,7,1
20060415,20060421,10,1
20060422,20060428,6,1
20060429,20060430,1,1
20060501,20060507,15,2
20060508,20060514,8,1
20060515,20060521,6,1
20060522,20060528,4,1
20060529,20060531,6,1
20060601,20060607,16,2
20060608,20060614,16,2
20060615,20060621,10,1
20060622,20060628,14,2
20060629,20060630,1,1
20060701,20060707,7,1
20060708,20060714,5,1
20060715,20060721,8,1
20060722,20060728,6,1
20060729,20060731,4,1
20060801,20060807,10,1
20060808,20060814,11,2
20060815,20060821,6,1
20060822,20060828,11,2
20060829,20060831,8,1
20060901,20060907,15,2
20060908,20060914,10,1
20060915,20060921,11,2
20060922,20060928,9,1
20060929,20060930,3,1
20061001,20061007,3,1
20061008,20061014,8,1
20061015,20061021,10,1
20061022,20061028,11,2
20061029,20061031,6,1
20061101,20061107,5,1
20061108,20061114,4,1
20061115,20061121,6,1
20061122,20061128,10,1
20061129,20061130,4,1
20061201,20061207,26,3
20061208,20061214,14,2
20061215,20061221,13,2
20061222,20061228,17,2
20061229,20061231,8,1
20050101,20050107,3,1
20050108,20050114,5,1
20050115,20050121,4,1
20050122,20050128,10,1
20050129,20050131,3,1
20050201,20050207,7,1
20050208,20050214,6,1
20050215,20050221,12,2
20050222,20050228,13,2
20050229,20050229,0,0
20050301,20050307,7,1
20050308,20050314,6,1
20050315,20050321,6,1
20050322,20050328,9,1
20050329,20050331,1,1
