Begin Date, End Date, Hits, Pages
20050101,20050107,0,0
20050108,20050114,0,0
20050115,20050121,0,0
20050122,20050128,0,0
20050129,20050131,0,0
20050201,20050207,0,0
20050208,20050214,0,0
20050215,20050221,0,0
20050222,20050228,0,0
20050229,20050229,0,0
20050301,20050307,0,0
20050308,20050314,0,0
20050315,20050321,0,0
20050322,20050328,0,0
20050329,20050331,0,0
20050401,20050407,0,0
20050408,20050414,0,0
20050415,20050421,0,0
20050422,20050428,0,0
20050429,20050430,0,0
20050501,20050507,0,0
20050508,20050514,0,0
20050515,20050521,0,0
20050522,20050528,0,0
20050529,20050531,0,0
20050601,20050607,11,2
20050608,20050614,0,0
20050615,20050621,0,0
20050622,20050628,0,0
20050629,20050630,0,0
20050701,20050707,0,0
20050708,20050714,0,0
20050715,20050721,0,0
20050722,20050728,0,0
20050729,20050731,0,0
20050801,20050807,0,0
20050808,20050814,0,0
20050815,20050821,0,0
20050822,20050828,0,0
20050829,20050831,0,0
20050901,20050907,0,0
20050908,20050914,0,0
20050915,20050921,0,0
20050922,20050928,0,0
20050929,20050930,0,0
20051001,20051007,0,0
20051008,20051014,0,0
20051015,20051021,0,0
20051022,20051028,0,0
20051029,20051031,0,0
20051101,20051107,0,0
20051108,20051114,0,0
20051115,20051121,0,0
20051122,20051128,0,0
20051129,20051130,0,0
20051201,20051207,0,0
20051208,20051214,0,0
20051215,20051221,0,0
20051222,20051228,0,0
20051229,20051231,0,0
20040101,20040107,0,0
20040108,20040114,0,0
20040115,20040121,0,0
20040122,20040128,0,0
20040129,20040131,0,0
20040201,20040207,0,0
20040208,20040214,0,0
20040215,20040221,0,0
20040222,20040228,0,0
20040229,20040229,0,0
20040301,20040307,0,0
20040308,20040314,0,0
20040315,20040321,0,0
20040322,20040328,0,0
20040329,20040331,0,0
20040401,20040407,0,0
20040408,20040414,0,0
20040415,20040421,0,0
20040422,20040428,0,0
20040429,20040430,0,0
20040501,20040507,0,0
20040508,20040514,0,0
20040515,20040521,0,0
20040522,20040528,0,0
20040529,20040531,0,0
20040601,20040607,20,2
20040608,20040614,0,0
20040615,20040621,0,0
20040622,20040628,0,0
20040629,20040630,0,0
20040701,20040707,0,0
20040708,20040714,0,0
20040715,20040721,0,0
20040722,20040728,0,0
20040729,20040731,0,0
20040801,20040807,0,0
20040808,20040814,0,0
20040815,20040821,0,0
20040822,20040828,0,0
20040829,20040831,0,0
20040901,20040907,0,0
20040908,20040914,0,0
20040915,20040921,0,0
20040922,20040928,0,0
20040929,20040930,0,0
20041001,20041007,0,0
20041008,20041014,0,0
20041015,20041021,0,0
20041022,20041028,0,0
20041029,20041031,0,0
20041101,20041107,0,0
20041108,20041114,0,0
20041115,20041121,0,0
20041122,20041128,0,0
20041129,20041130,0,0
20041201,20041207,0,0
20041208,20041214,0,0
20041215,20041221,0,0
20041222,20041228,0,0
20041229,20041231,0,0
20030101,20030107,0,0
20030108,20030114,0,0
20030115,20030121,0,0
20030122,20030128,0,0
20030129,20030131,0,0
20030201,20030207,0,0
20030208,20030214,0,0
20030215,20030221,0,0
20030222,20030228,0,0
20030229,20030229,0,0
20030301,20030307,0,0
20030308,20030314,0,0
20030315,20030321,0,0
20030322,20030328,0,0
20030329,20030331,0,0
20030401,20030407,0,0
20030408,20030414,0,0
20030415,20030421,0,0
20030422,20030428,0,0
20030429,20030430,0,0
20030501,20030507,0,0
20030508,20030514,0,0
20030515,20030521,0,0
20030522,20030528,0,0
20030529,20030531,0,0
20030601,20030607,0,0
20030608,20030614,0,0
20030615,20030621,0,0
20030622,20030628,11,2
20030629,20030630,0,0
20030701,20030707,0,0
20030708,20030714,0,0
20030715,20030721,0,0
20030722,20030728,0,0
20030729,20030731,0,0
20030801,20030807,0,0
20030808,20030814,0,0
20030815,20030821,0,0
20030822,20030828,0,0
20030829,20030831,0,0
20030901,20030907,0,0
20030908,20030914,0,0
20030915,20030921,0,0
20030922,20030928,0,0
20030929,20030930,0,0
20031001,20031007,0,0
20031008,20031014,0,0
20031015,20031021,0,0
20031022,20031028,0,0
20031029,20031031,0,0
20031101,20031107,0,0
20031108,20031114,0,0
20031115,20031121,0,0
20031122,20031128,0,0
20031129,20031130,0,0
20031201,20031207,0,0
20031208,20031214,0,0
20031215,20031221,0,0
20031222,20031228,0,0
20031229,20031231,0,0
20020101,20020107,0,0
20020108,20020114,0,0
20020115,20020121,0,0
20020122,20020128,0,0
20020129,20020131,0,0
20020201,20020207,0,0
20020208,20020214,0,0
20020215,20020221,0,0
20020222,20020228,0,0
20020229,20020229,0,0
20020301,20020307,0,0
20020308,20020314,0,0
20020315,20020321,0,0
20020322,20020328,0,0
20020329,20020331,0,0
20020401,20020407,0,0
20020408,20020414,0,0
20020415,20020421,0,0
20020422,20020428,0,0
20020429,20020430,0,0
20020501,20020507,0,0
